,M1,M18,M19,M2,M20,M21,M22,M23,M24,M25,M26,M29,M2country,M30,M30country,country,experimentNumber,orderNumber,training,type,userId
124,0.5,2,3,0.25,4,1,3,3,6,6,10,1,,0.25,,0,176,10,False,n,10F
125,0.5,7,6,0.25,6,6,6,9,6,6,10,1,0.25,0.25,0.25,1,177,10,False,n,10F
126,0.5,2,2,0.75,3,11,2,2,12,13,14,1,,0.25,,0,135,13,False,e,17MRW13
127,0.5,2,9,0.75,9,12,2,3,12,13,14,1,0.75,0.25,0.25,2,136,13,False,e,17MRW13
128,0.5,1,4,0.625,1,11,1,1,15,18,18,4,,0.375,,0,133,13,False,c,17MRW13
129,0.875,8,2,0.625,6,11,1,2,15,18,18,4,0.625,0.375,0.375,1,134,13,False,c,17MRW13
130,0.5,2,2,0.25,2,11,2,2,9,6,18,2,,0.125,,0,137,13,False,s,17MRW13
131,0.5,9,7,0.25,3,10,9,2,9,6,18,2,0.25,0.125,0.125,4,138,13,False,s,17MRW13
132,0.5,5,4,0.25,4,14,5,1,1,15,13,3,,0.5,,0,131,13,False,n,17MRW13
133,0.5,3,14,0.25,1,11,4,1,1,15,13,3,0.25,0.5,0.5,3,132,13,False,n,17MRW13
134,0.5,10,2,0.375,8,15,13,2,15,4,5,4,,0.125,,0,188,12,False,e,12F
135,0.375,12,2,0.375,7,16,16,2,15,4,5,4,0.375,0.125,0.125,4,189,12,False,e,12F
136,0.5,6,2,0.375,4,17,17,2,13,5,13,2,,0.5,,0,190,12,False,c,12F
137,0.25,11,11,0.375,11,11,11,11,13,5,13,2,0.375,0.5,0.5,3,191,12,False,c,12F
138,0.5,4,2,0.25,3,16,16,1,6,15,7,3,,0.25,,0,192,12,False,s,12F
139,0.75,8,1,0.25,9,14,16,1,6,15,7,3,0.25,0.25,0.25,1,193,12,False,s,12F
140,0.75,7,2,0.25,8,13,12,14,4,18,16,1,,0.375,,0,186,12,False,n,12F
141,0.625,12,3,0.25,8,11,14,3,4,18,16,1,0.25,0.375,0.375,2,187,12,False,n,12F
142,0.25,11,11,0.375,11,11,11,11,18,6,12,3,,0.25,,0,153,15,False,e,MPS15
143,0.5,14,4,0.375,10,13,12,7,18,6,12,3,0.375,0.25,0.25,4,154,15,False,e,MPS15
144,0.25,11,11,0.5,11,11,11,11,13,11,8,2,,0.5,,0,147,15,False,c,MPS15
145,0.625,13,3,0.5,14,11,12,14,13,11,8,2,0.5,0.5,0.5,3,148,15,False,c,MPS15
146,0.25,11,11,0.375,11,11,11,11,5,3,15,1,,0.125,,0,149,15,False,s,MPS15
147,0.625,9,1,0.375,8,14,10,7,5,3,15,1,0.375,0.125,0.125,2,150,15,False,s,MPS15
148,0.0,11,11,0.5,11,11,11,11,2,8,14,4,,0.375,,0,151,15,False,n,MPS15
149,0.625,15,3,0.5,15,9,13,14,2,8,14,4,0.5,0.375,0.375,1,152,15,False,n,MPS15
150,0.5,6,6,0.5,5,12,5,6,3,6,16,1,,0.5,,0,32,14,False,e,2FQ2014
151,0.375,6,7,0.5,13,11,7,7,3,6,16,1,0.5,0.5,0.5,2,33,14,False,e,2FQ2014
152,0.5,6,4,0.0,11,12,7,7,9,8,3,4,,0.125,,0,28,14,False,c,2FQ2014
153,0.5,7,8,0.0,12,8,8,8,9,8,3,4,0.0,0.125,0.125,1,29,14,False,c,2FQ2014
154,0.5,6,6,0.5,8,3,6,7,6,9,13,2,,0.25,,0,30,14,False,s,2FQ2014
155,0.25,6,6,0.5,12,7,6,7,6,9,13,2,0.5,0.25,0.25,4,31,14,False,s,2FQ2014
156,0.75,2,11,0.125,11,13,2,5,12,11,3,3,,0.375,,0,26,14,False,n,2FQ2014
157,0.125,6,7,0.125,12,11,8,9,12,11,3,3,0.125,0.375,0.375,3,27,14,False,n,2FQ2014
158,0.5,1,3,0.75,1,1,4,1,17,1,7,4,,0.125,,0,66,17,False,e,5MS17
159,0.875,1,3,0.75,1,1,6,1,17,1,7,4,0.75,0.125,0.125,2,67,17,False,e,5MS17
160,0.5,1,3,0.625,1,1,1,1,11,11,16,2,,0.5,,0,64,17,False,c,5MS17
161,0.875,1,4,0.625,1,1,5,1,11,11,16,2,0.625,0.5,0.5,1,65,17,False,c,5MS17
162,0.5,1,1,0.125,1,1,1,1,1,20,20,1,,0.25,,0,62,17,False,s,5MS17
163,0.5,2,3,0.125,1,1,2,1,1,20,20,1,0.125,0.25,0.25,4,63,17,False,s,5MS17
164,0.5,11,6,0.25,1,1,11,11,1,20,20,3,,0.375,,0,60,17,False,n,5MS17
165,0.875,1,5,0.25,1,1,1,6,1,20,20,3,0.25,0.375,0.375,3,61,17,False,n,5MS17
166,0.5,7,5,0.125,5,4,8,4,9,8,14,2,,0.375,,0,46,16,False,e,2FS2116
167,0.5,7,4,0.125,6,9,10,4,9,8,14,2,0.125,0.375,0.375,4,47,16,False,e,2FS2116
168,0.5,7,4,0.5,9,6,7,3,11,8,11,4,,0.25,,0,42,16,False,c,2FS2116
169,0.75,7,6,0.5,7,9,9,5,11,8,11,4,0.5,0.25,0.25,3,43,16,False,c,2FS2116
170,0.5,5,6,0.375,4,6,8,4,6,12,12,3,,0.5,,0,44,16,False,s,2FS2116
171,1.0,8,6,0.375,6,9,9,5,6,12,12,3,0.375,0.5,0.5,2,45,16,False,s,2FS2116
172,0.5,4,3,0.5,3,4,4,3,7,13,12,1,,0.125,,0,48,16,False,n,2FS2116
173,0.625,7,6,0.5,5,8,10,5,7,13,12,1,0.5,0.125,0.125,1,49,16,False,n,2FS2116
174,0.5,1,1,0.625,1,19,1,1,17,2,12,4,,0.5,,0,143,19,False,e,18MDM19
175,0.875,4,2,0.625,3,18,5,3,17,2,12,4,0.625,0.5,0.5,2,144,19,False,e,18MDM19
176,0.5,2,2,0.375,1,19,2,1,5,5,16,1,,0.125,,0,145,19,False,c,18MDM19
177,0.625,2,1,0.375,2,19,2,2,5,5,16,1,0.375,0.125,0.125,3,146,19,False,c,18MDM19
178,0.5,3,1,0.5,1,19,2,1,1,16,13,2,,0.25,,0,139,19,False,s,18MDM19
179,0.625,4,1,0.5,2,19,4,1,1,16,13,2,0.5,0.25,0.25,4,140,19,False,s,18MDM19
180,0.5,1,1,0.5,1,19,1,1,1,19,8,3,,0.375,,0,141,19,False,n,18MDM19
181,0.625,3,2,0.5,1,19,3,1,1,19,8,3,0.5,0.375,0.375,1,142,19,False,n,18MDM19
182,0.5,6,9,0.375,17,15,8,4,11,14,11,2,,0.375,,0,182,18,False,e,18F
183,0.25,11,10,0.375,12,10,7,6,11,14,11,2,0.375,0.375,0.375,2,183,18,False,e,18F
184,0.5,5,7,0.25,16,14,4,3,6,8,14,1,,0.125,,0,184,18,False,c,18F
185,0.5,7,5,0.25,8,15,4,2,6,8,14,1,0.25,0.125,0.125,1,185,18,False,c,18F
186,0.5,9,13,0.25,11,8,10,9,15,15,4,3,,0.5,,0,180,18,False,s,18F
187,0.125,13,13,0.25,12,7,9,12,15,15,4,3,0.25,0.5,0.5,4,181,18,False,s,18F
188,0.0,15,16,0.5,12,7,17,11,20,18,1,4,,0.25,,0,178,18,False,n,18F
189,0.375,19,20,0.5,12,3,17,21,20,18,1,4,0.5,0.25,0.25,3,179,18,False,n,18F
