,M14,M15,M15m,M15o,M15t,M16,M16m,M16o,M16t,M17,country,experimentNumber,orderNumber,training,type,userId
138,8545,0,0,0,0,16168,4458,7619,4091,5817.04704403,0,192,12,False,s,12F
139,109331,3,0,1,2,261474,21963,122678,116833,16197.1479677,1,193,12,False,s,12F
140,54059,0,0,0,0,141542,0,118840,22702,3782.52172301,0,186,12,False,n,12F
141,149866,2,0,0,2,419927,0,81739,338188,14856.0021374,2,187,12,False,n,12F
142,5000,0,0,0,0,24429,0,3551,20878,2426.37069147,0,153,15,False,e,MPS15
143,10866,2,0,1,1,240363,0,72184,168179,6592.82417849,4,154,15,False,e,MPS15
144,1390,1,0,1,0,31678,0,2294,29384,3438.30007559,0,147,15,False,c,MPS15
145,9674,1,0,1,0,169052,0,9858,159194,6380.86015856,3,148,15,False,c,MPS15
146,3531,1,0,0,1,22814,3281,8701,10832,5243.20944623,0,149,15,False,s,MPS15
147,93082,1,0,0,1,-1474289123322,-1474289360722,81494,155906,11835.4426464,2,150,15,False,s,MPS15
148,481,1,0,0,1,12278,0,1291,10987,3039.35600013,0,151,15,False,n,MPS15
149,8386,1,0,1,0,224281,0,25876,198405,7293.0798543,1,152,15,False,n,MPS15
150,1014,1,0,0,1,87560,0,895,86665,2303.67128684,0,32,14,False,e,2FQ2014
151,5732,2,0,1,1,308875,1831,239589,67455,6513.93559204,2,33,14,False,e,2FQ2014
152,2212,2,0,0,2,111817,0,1074,110743,5279.18404082,0,28,14,False,c,2FQ2014
153,8652,1,0,0,1,313905,0,6768,307137,7584.56891652,1,29,14,False,c,2FQ2014
154,6115,1,0,1,0,79910,840,26013,53057,4797.76912143,0,30,14,False,s,2FQ2014
155,10938,1,0,0,1,356839,4084,261505,91250,12207.2890443,4,31,14,False,s,2FQ2014
156,2424,1,0,0,1,-1466169202784,0,3025,-1466169205809,3176.7648721,0,26,14,False,n,2FQ2014
157,9424,1,0,0,1,273700,0,25367,248333,6540.58802425,3,27,14,False,n,2FQ2014
158,1967,1,0,0,1,90405,0,411,89994,4986.66546619,0,66,17,False,e,5MS17
159,6430,1,0,0,1,296110,0,95020,201090,6870.47809221,2,67,17,False,e,5MS17
160,819,1,0,0,1,12551,0,1236,11315,3432.55231077,0,64,17,False,c,5MS17
161,9544,3,0,1,2,355645,312,16675,338658,11325.0100673,1,65,17,False,c,5MS17
162,4014,1,0,0,1,92391,1015,89268,2108,5755.87891719,0,62,17,False,s,5MS17
163,16709,3,0,1,2,307615,2323,292738,12554,11652.5186843,4,63,17,False,s,5MS17
164,2394,4,0,2,2,122317,0,89287,33030,7162.40649505,0,60,17,False,n,5MS17
165,8598,3,0,1,2,-1467979179069,0,-1467979226399,47330,7053.74607675,3,61,17,False,n,5MS17
166,1348,1,0,0,1,88074,0,580,87494,1716.47411902,0,46,16,False,e,2FS2116
