,M10,M11,M12,M12m,M12o,M12t,M13m,M13o,M13t,M3,M3m,M3o,M3t,M4,M4m,M4o,M4perSec,M4t,M5,M5m,M5o,M5t,M6,M6m,M6o,M6t,M7,M8,M9,V10t,country,experimentNumber,orderNumber,training,type,userId
55,2,223.89,157.86,0.45,13.61,143.8,0.00285062713797,0.0862156341062,0.910933738756,0.211325301205,0.15,0.226833333333,0.210233918129,747,3,60,3.33645986869,684,160.436324103,107.791168239,184.906064748,137.117275508,0.0885120643432,0.05,0.331081081081,0.0705143721634,2,0.5,406.550111256,4,0,68,2,False,e,8FC02
56,15,516.35,379.54,12.94,23.17,343.43,0.0340939031459,0.0610475839174,0.904858512937,0.205267712277,0.248846153846,0.193083333333,0.204788312463,1849,52,120,3.58090442529,1677,136.240234924,81.5726766436,88.8351818791,125.000851658,0.0740313852814,0.0464,0.0513235294118,0.0711992619926,28,1.4,524.076310758,11,1,69,2,False,e,8FC02
57,1,30.42,23.05,0.09,0.36,22.6,0.00390455531453,0.0156182212581,0.980477223427,0.192083333333,0.09,0.18,0.193162393162,120,1,2,3.94477317554,117,150.248062694,0.0,0.0,144.964141744,0.0619327731092,0.0,0.0,0.060350877193,1,0.25,484.846954239,4,0,70,2,False,c,8FC02
58,16,504.01,380.46,13.66,33.03,333.77,0.0359039057982,0.0868159596278,0.877280134574,0.212785234899,0.262692307692,0.196607142857,0.212863520408,1788,52,168,3.54754865975,1568,148.414992379,58.0013043077,108.473484154,131.899692027,0.0691382204813,0.0357894736842,0.0809900990099,0.0648301132578,33,1.65,532.717902322,10,2,71,2,False,c,8FC02
59,4,9.41,6.08,1.74,1.43,2.91,0.286184210526,0.235197368421,0.478618421053,0.225185185185,0.248571428571,0.158888888889,0.264545454545,27,7,9,2.8692879915,11,261.668864427,150.882984478,139.94660252,179.372376851,0.128076923077,0.04,0.0483333333333,0.0516666666667,5,1.25,328.370390274,4,0,74,2,False,s,8FC02
60,14,385.06,286.42,30.76,30.89,224.77,0.107394735005,0.107848613924,0.784756651072,0.210448199853,0.244126984127,0.211575342466,0.206400367309,1361,126,146,3.5345141017,1089,138.202715522,92.6082946286,118.176374241,126.711225963,0.0725294117647,0.0641935483871,0.0798058252427,0.0613403041825,39,1.95,367.846806674,12,3,75,2,False,s,8FC02
61,0,4.43,3.83,0.0,0.35,3.48,0.0,0.0913838120104,0.90861618799,0.319166666667,0.0,0.35,0.316363636364,12,0,1,2.70880361174,11,222.091811741,0.0,0.0,165.486145595,0.0545454545455,0.0,0.0,0.0488888888889,0,0.0,,3,0,72,2,False,n,8FC02
62,0,375.34,294.52,0.0,7.33,287.19,0.0,0.0248879532799,0.97511204672,0.211125448029,0.0,0.25275862069,0.210241581259,1395,0,29,3.71663025524,1366,134.608115324,0.0,43.1457771654,133.936446964,0.0579770444763,0.0,0.0377777777778,0.0573308550186,0,0.0,,8,4,73,2,False,n,8FC02
63,5,59.31,36.12,3.54,4.14,28.44,0.0980066445183,0.114617940199,0.787375415282,0.244054054054,0.208235294118,0.217894736842,0.253928571429,148,17,19,2.49536334514,112,235.764525279,122.029659464,117.67900825,164.14521276,0.157755102041,0.142857142857,0.07375,0.166736842105,13,3.25,488.720952828,4,0,52,5,False,e,5MS3205
64,1,279.99,213.26,0.11,7.23,205.92,0.000515802307043,0.0339022789084,0.965581918785,0.198381395349,0.11,0.2259375,0.197619961612,1075,1,32,3.83942283653,1042,112.773142187,0.0,97.6369709585,111.897942636,0.0621322160149,0.0,0.0481818181818,0.0621295387635,1,0.05,428.480834439,11,1,53,5,False,e,5MS3205
65,3,42.12,28.28,4.17,8.44,15.67,0.147454031117,0.298444130127,0.554101838755,0.271923076923,0.297857142857,0.324615384615,0.24484375,104,14,26,2.46913580247,64,226.125699876,59.1138503421,163.008170872,147.101215938,0.134368932039,0.11,0.0823076923077,0.106041666667,10,2.5,508.27544765,4,0,56,5,False,c,5MS3205
66,3,394.23,305.93,1.07,9.08,295.78,0.00349753211519,0.0296799921551,0.96682247573,0.211569847856,0.178333333333,0.197391304348,0.212180774749,1446,6,46,3.66790959592,1394,104.430269642,19.579421172,56.4890771407,100.729088971,0.061107266436,0.025,0.0685185185185,0.06016,4,0.2,756.647504784,11,2,57,5,False,c,5MS3205
67,6,33.11,21.56,4.08,12.64,4.84,0.189239332096,0.586270871985,0.224489795918,0.239555555556,0.291428571429,0.221754385965,0.254736842105,90,14,57,2.71821202054,19,217.84261633,228.078478454,194.181479677,183.10882313,0.129775280899,0.156,0.126136363636,0.0827272727273,13,3.25,409.707753751,4,0,58,5,False,s,5MS3205
68,16,485.46,369.57,26.26,33.42,309.89,0.0710555510458,0.0904294179722,0.838515030982,0.205545050056,0.240917431193,0.210188679245,0.20254248366,1798,109,159,3.7037037037,1530,118.814759297,96.2746554246,111.014328715,104.215091421,0.0644908180301,0.0593902439024,0.0557943925234,0.0626941255908,35,1.75,315.237188439,13,3,59,5,False,s,5MS3205
69,0,52.36,37.58,0.0,5.16,32.42,0.0,0.137307078233,0.862692921767,0.289076923077,0.0,0.286666666667,0.289464285714,130,0,18,2.48281130634,112,121.848612046,0.0,131.08974277,98.5673183398,0.114573643411,0.0,0.119,0.11427184466,0,0.0,,4,0,54,5,False,n,5MS3205
70,0,370.19,286.86,0.0,9.41,277.45,0.0,0.0328034581329,0.967196541867,0.210462215701,0.0,0.218837209302,0.210189393939,1363,0,43,3.68189308193,1320,99.7864188509,0.0,75.2054688485,100.426802015,0.0611820851689,0.0,0.0423529411765,0.0616395978345,0,0.0,,8,4,55,5,False,n,5MS3205
71,4,113.86,86.59,0.97,7.0,78.62,0.0112022173461,0.0808407437348,0.907957038919,0.202313084112,0.194,0.194444444444,0.20315245478,428,5,36,3.75900228351,387,145.332110381,32.7590930737,78.4709921642,139.763856387,0.0638641686183,0.02,0.0828571428571,0.0620994475138,4,1.0,317.466717995,4,0,76,4,False,e,9FH04
72,7,255.4,198.12,4.79,18.48,174.85,0.0241772663033,0.0932768019382,0.882545931759,0.202576687117,0.217727272727,0.198709677419,0.202607184241,978,22,93,3.82928739233,863,169.445660461,56.4728476077,101.945389364,156.361505318,0.0586284544524,0.0527272727273,0.0442105263158,0.0563387297634,11,0.55,484.547200296,12,1,77,4,False,e,9FH04
73,1,55.15,44.47,0.07,1.49,42.91,0.00157409489544,0.0335057342028,0.964920170902,0.230414507772,0.07,0.212857142857,0.231945945946,193,1,7,3.49954669084,185,157.153944799,0.0,96.5587253973,155.981849832,0.055625,0.0,0.035,0.0552247191011,1,0.25,345.346590237,4,0,82,4,False,c,9FH04
74,6,139.29,106.48,1.7,5.18,99.6,0.0159654395192,0.0486476333584,0.935386927122,0.216422764228,0.17,0.199230769231,0.218421052632,492,10,26,3.53219900926,456,152.675231086,42.1777426056,123.93521326,137.713085116,0.0668228105906,0.0866666666667,0.04625,0.0648847926267,7,0.35,640.318286911,10,2,83,4,False,c,9FH04
75,7,87.65,67.78,6.18,12.91,48.69,0.0911773384479,0.190469164945,0.718353496607,0.190929577465,0.220714285714,0.187101449275,0.188720930233,355,28,69,4.05019965773,258,168.810934006,143.791226266,133.557978787,161.710844771,0.0561299435028,0.047,0.0540909090909,0.0562083333333,21,5.25,340.674656393,4,0,78,4,False,s,9FH04
76,12,250.21,196.72,10.73,20.68,165.31,0.0545445302969,0.10512403416,0.840331435543,0.209499467519,0.218979591837,0.191481481481,0.211393861893,939,49,108,3.75284760801,782,148.798121998,136.591463515,139.73016714,131.609711813,0.0570255863539,0.0502857142857,0.0559183673469,0.0557402234637,19,0.95,404.155731369,13,3,79,4,False,s,9FH04
77,0,48.33,37.61,0.0,0.0,37.61,0.0,0.0,1.0,0.192871794872,0.0,0.0,0.192871794872,195,0,0,4.034761018,195,141.153596387,0.0,0.0,141.153596387,0.0552577319588,0.0,0.0,0.0552577319588,0,0.0,,4,0,80,4,False,n,9FH04
