,M10,M11,M12,M12m,M12o,M12t,M13m,M13o,M13t,M3,M3m,M3o,M3t,M4,M4m,M4o,M4perSec,M4t,M5,M5m,M5o,M5t,M6,M6m,M6o,M6t,M7,M8,M9,V10t,country,experimentNumber,orderNumber,training,type,userId,M1,M18,M19,M2,M20,M21,M22,M23,M24,M25,M26,M29,M2country,M30,M30country,country,experimentNumber,orderNumber,training,type,userId,M14,M15,M15m,M15o,M15t,M16,M16m,M16o,M16t,M17,country,experimentNumber,orderNumber,training,type,userId
30,0,146.184,120.84,0.0,3.216,117.624,0.0,0.026613704071499503,0.9733862959285005,0.23193857965451056,0.0,0.2144,0.2324584980237154,521,0,15,3.564001532315438,506,121.93267939908903,0.0,68.08731600242962,119.0849046401733,0.04873846153846154,0.0,0.040799999999999996,0.047854545454545455,0,0.0,,4,0,196,22,False,n,22F,0.5,12,1,0.625,14,14,9,1,1,20,20,1,,0.375,,0,196,22,False,n,22F,2605,1,0,0,1,-1481816160286,0,29175,-1481816189461,2900.678483786747,0,196,22,False,n,22F
31,0,778.728,624.828,0.0,19.74,605.088,0.0,0.031592694309473965,0.968407305690526,0.22475827338129495,0.0,0.24370370370370367,0.2241896998888477,2780,0,81,3.5699242867856302,2699,117.79021494331506,0.0,107.56999458748989,115.6788293210279,0.05537963296149694,0.0,0.057857142857142864,0.05475992438563327,0,0.0,,11,2,197,22,False,n,22F,0.875,15,4,0.625,8,14,17,8,1,20,20,1,0.625,0.375,0.375,2,197,22,False,n,22F,188366,1,0,1,0,779540,0,380556,398984,17609.53545422948,2,197,22,False,n,22F
32,4,52.344,41.904,2.352,9.108,30.444,0.0561282932416953,0.21735395189003437,0.7265177548682703,0.3299527559055118,0.19599999999999998,0.3252857142857143,0.3499310344827586,127,12,28,2.426257068622956,87,203.49194947277138,112.84952021873441,169.07510341051207,137.48358615743095,0.08285714285714285,0.040799999999999996,0.057999999999999996,0.05473972602739726,9,2.25,442.89817822423964,5,0,115,23,False,e,14JG23,0.0,11,11,0.125,11,11,11,11,18,14,6,3,,0.5,,0,115,23,False,e,14JG23,2136,1,0,0,1,52932,0,30264,22668,2426.0448116949588,0,115,23,False,e,14JG23
33,14,362.364,271.26,17.76,24.36,229.14,0.06547224065472242,0.08980314089803142,0.8447246184472461,0.19515107913669064,0.22769230769230772,0.23199999999999998,0.18984258492129244,1390,78,105,3.835921890695544,1207,143.76259021520312,75.91258576599972,109.23768550795022,131.34996307638409,0.06558963282937365,0.0670188679245283,0.050434782608695654,0.059250641573994865,25,1.25,454.6262914389101,12,3,116,23,False,e,14JG23,0.375,13,2,0.125,8,4,4,4,18,14,6,3,0.125,0.5,0.5,3,116,23,False,e,14JG23,172264,5,0,2,3,364178,0,326709,37469,7548.629959950372,3,116,23,False,e,14JG23
34,8,69.3,54.672,6.312,10.98,37.38,0.11545215100965761,0.2008340649692713,0.6837137840210712,0.20026373626373625,0.2427692307692308,0.21529411764705883,0.19071428571428573,273,26,51,3.9393939393939394,196,182.12556226748546,86.87824772989991,131.82304071766504,144.83612526310108,0.05377941176470588,0.03818181818181818,0.043448275862068966,0.050237288135593215,18,4.5,544.4890963115926,4,0,121,23,False,c,14JG23,0.5,3,1,0.375,14,4,5,13,14,12,12,2,,0.375,,0,121,23,False,c,14JG23,2452,1,0,0,1,69681,8813,37550,23318,6122.872014183267,0,121,23,False,c,14JG23
35,6,85.128,65.676,10.38,5.376,49.92,0.1580486022291248,0.08185638589439065,0.7600950118764845,0.19841691842900303,0.24714285714285716,0.168,0.1942412451361868,331,42,32,3.8882623813551356,257,156.5071780809336,86.79071984653604,159.04324723509254,139.61853186567842,0.05894545454545455,0.04055172413793103,0.0472,0.0501,16,0.8,463.20230858066907,3,4,122,23,False,c,14JG23,0.625,10,1,0.375,12,6,12,11,14,12,12,2,0.375,0.375,0.375,4,122,23,False,c,14JG23,29695,12,0,9,3,365799,616,268636,96547,13281.925618808986,4,122,23,False,c,14JG23
36,7,134.856,106.368,13.404,14.46,78.504,0.12601534296028882,0.13594314079422384,0.7380415162454874,0.19304537205081668,0.2628235294117647,0.20083333333333334,0.18342056074766355,551,51,72,4.085839710506021,428,143.11545965428556,122.78553539628662,98.32347009593597,139.04820960914407,0.05179636363636363,0.05630769230769231,0.056487804878048775,0.049945945945945945,30,7.5,315.4504165580371,4,0,117,23,False,s,14JG23,0.5,2,1,0.875,5,6,3,4,1,14,19,1,,0.125,,0,117,23,False,s,14JG23,7813,5,0,5,0,-1474034609423,0,-1474034609696,273,4516.704386869441,0,117,23,False,s,14JG23
37,20,369.168,288.096,41.652,35.34,211.104,0.14457680773075643,0.12266744418527159,0.732755748083972,0.20132494758909852,0.29751428571428573,0.19966101694915256,0.18950089766606823,1431,140,177,3.8762839682746066,1114,142.44975871343314,92.91185451121235,137.12409528695304,134.98081753937535,0.0566937062937063,0.05906796116504854,0.0799,0.051332712022367194,47,2.35,337.9365833837462,11,1,118,23,False,s,14JG23,0.5,11,1,0.875,2,11,11,7,1,14,19,1,0.875,0.125,0.125,1,118,23,False,s,14JG23,19465,10,0,9,1,-1474034645112,1066,367180,-1474035013358,12678.133709451975,1,118,23,False,s,14JG23
38,0,94.476,75.852,0.0,1.224,74.628,0.0,0.016136687233032746,0.9838633127669673,0.21306741573033708,0.0,0.204,0.21322285714285713,356,0,6,3.768152758372497,350,139.12489743667211,0.0,244.81009150518648,135.2389089593986,0.052461971830985915,0.0,0.06,0.05113953488372092,0,0.0,,4,0,119,23,False,n,14JG23,0.25,1,1,0.75,3,11,11,5,7,11,4,3,,0.25,,0,119,23,False,n,14JG23,2680,1,0,0,1,-1474035728617,0,91767,-1474035820384,3044.456766895201,0,119,23,False,n,14JG23
39,0,334.74,268.104,0.0,18.156,249.948,0.0,0.06771998925789992,0.9322800107421002,0.20419192688499618,0.0,0.22141463414634144,0.2030446791226645,1313,0,82,3.9224472725100075,1231,122.06295863665449,0.0,81.9922723247653,123.05355835707373,0.05078963414634146,0.0,0.043000000000000003,0.05032775919732441,0,0.0,,11,2,120,23,False,n,14JG23,0.5,10,1,0.75,1,15,9,6,7,11,4,3,0.75,0.25,0.25,2,120,23,False,n,14JG23,8463,4,0,3,1,-1474035669455,0,-1474035670742,1287,6027.265785132015,2,120,23,False,n,14JG23
